wheel_base,length,width,curb_weight,num_of_cylinders,engine_size,horsepower,price
97,173.5,65.4,2290,4,108,82,7463
97,173.5,65.4,2455,4,108,94,10198
96.9,173.6,65.4,2420,4,108,82,8013
96.9,173.6,65.4,2650,4,108,111,11694
95.7,158.7,63.6,1985,4,92,62,5348
95.7,158.7,63.6,2040,4,92,62,6338
95.7,158.7,63.6,2015,4,92,62,6488
95.7,169.7,63.6,2280,4,92,62,6918
95.7,169.7,63.6,2290,4,92,62,7898
95.7,169.7,63.6,3110,4,92,62,8778
95.7,166.3,64.4,2081,4,98,70,6938
95.7,166.3,64.4,2109,4,98,70,7198
95.7,166.3,64.4,2275,4,110,56,7898
95.7,166.3,64.4,2275,4,110,56,7788
95.7,166.3,64.4,2094,4,98,70,7738
95.7,166.3,64.4,2122,4,98,70,8358
95.7,166.3,64.4,2140,4,98,70,9258
94.5,168.7,64,2169,4,98,70,8058
94.5,168.7,64,2204,4,98,70,8238
94.5,168.7,64,2265,4,98,112,9298
94.5,168.7,64,2300,4,98,112,9538
98.4,176.2,65.6,2540,4,146,116,8449
98.4,176.2,65.6,2536,4,146,116,9639
98.4,176.2,65.6,2551,4,146,116,9989
98.4,176.2,65.6,2679,4,146,116,11199
98.4,176.2,65.6,2714,4,146,116,11549
98.4,176.2,65.6,2975,4,146,116,17669
102.4,175.6,66.5,2326,4,122,92,8948
102.4,175.6,66.5,2480,4,110,73,10698
102.4,175.6,66.5,2414,4,122,92,9988
102.4,175.6,66.5,2414,4,122,92,10898
102.4,175.6,66.5,2458,4,122,92,11248
102.9,183.5,67.7,2976,6,171,161,16558
102.9,183.5,67.7,3016,6,171,161,15998
104.5,187.8,66.5,3131,6,171,156,15690
97.3,171.7,65.5,2261,4,97,52,7775
97.3,171.7,65.5,2209,4,109,85,7975
97.3,171.7,65.5,2264,4,97,52,7995
97.3,171.7,65.5,2212,4,109,85,8195
97.3,171.7,65.5,2275,4,109,85,8495
97.3,171.7,65.5,2319,4,97,68,9495
97.3,171.7,65.5,2300,4,109,100,9995
94.5,165.7,64,2221,4,109,90,9980
104.3,188.8,67.2,2912,4,141,114,12940
104.3,188.8,67.2,3034,4,141,114,13415
104.3,188.8,67.2,2935,4,141,114,15985
104.3,188.8,67.2,3042,4,141,114,16515
104.3,188.8,67.2,3045,4,130,162,18420
104.3,188.8,67.2,3157,4,130,162,18950
109.1,188.8,68.9,2952,4,141,114,16845
109.1,188.8,68.8,3049,4,141,160,19045
109.1,188.8,68.9,3012,6,173,134,21485
109.1,188.8,68.9,3217,6,145,106,22470
109.1,188.8,68.9,3062,4,141,114,22625

